title,description,Thriller,Classics,Romance,Mystery,Science,Literature,Fantasy,Historical,Fiction
Jumper #1Jumper,"Davy lives alone with his father. But the truth is, it isn't much of a home. When things get so bad that Davy decides to run away, his big question is, Where? And how will he live?The magical answer: anywhere Davy wants!Davy discovers he has the power to ""jump"" from one place to another. Not just a few feet. But hundreds, even thousands of miles! And as Davy explores his new power he learns that the world is literally his for the taking. But there are consequences too, as Davy will learn.",1,0,0,0,1,0,1,0,1
Kay Scarpetta #7Cause of Death,"It is New Year's Eve, the last day of Virginia's bloodiest year since the Civil War. Dr. Kay Scarpetta plunges into the murky depths of a ship graveyard to recover the very human remains of Ted Eddings, an investigative reporter. What kind of story was Eddings chasing below the icy surface of the Elizabeth River? And why did Scarpetta receive a phone call from someone reporting the death before the police were notified? She soon discovers that Eddings' murder is merely the first layer of something much deeper --- a labyrinthine conspiracy that will put all of her criminal and forensic knowledge to the test like never before. For Scarpetts, the real challenge won't be cataloging the growing number of dead bodies, but preventing herself and those she loves from becoming the next victims.",1,0,0,1,0,0,0,0,1
Hidden Pictures,"A wildly inventive spin on the supernatural thriller, about a woman working as a nanny for a young boy with strange and disturbing secrets.Mallory Quinn is fresh out of rehab when she takes a job as a babysitter for Ted and Caroline Maxwell. She is to look after their five-year-old son, Teddy.Mallory immediately loves it. She has her own living space, goes out for nightly runs, and has the stability she craves. And she sincerely bonds with Teddy, a sweet, shy boy who is never without his sketchbook and pencil. His drawings are the usual fare: trees, rabbits, balloons. But one day, he draws something different: a man in a forest, dragging a woman’s lifeless body.Then, Teddy’s artwork becomes increasingly sinister, and his stick figures quickly evolve into lifelike sketches well beyond the ability of any five-year-old. Mallory begins to wonder if these are glimpses of a long-unsolved murder, perhaps relayed by a supernatural force.Knowing just how crazy it all sounds, Mallory nevertheless sets out to decipher the images and save Teddy before it’s too late.",1,0,0,1,0,0,0,0,1
Lilac Girls #1Lilac Girls,"Inspired by the life of a real World War II heroine, this powerful debut novel reveals an incredible story of love, redemption, and terrible secrets that were hidden for decades. On the eve of a fateful war, New York socialite Caroline Ferriday has her hands full with her post at the French consulate and a new love on the horizon. But Caroline’s world is forever changed when Hitler’s army invades Poland in September 1939—and then sets its sights on France. An ocean away from Caroline, Kasia Kuzmerick, a Polish teenager, senses her carefree youth disappearing as she sinks deeper into her role as courier for the underground resistance movement. In a tense atmosphere of watchful eyes and suspect neighbors, one false move can have dire consequences. For ambitious young German doctor, Herta Oberheuser, an ad for a government medical position seems her ticket out of a desolate life. But, once hired, she finds herself trapped in a male-dominated realm of Nazi secrets and power. The lives of these three women are set on a collision course when the unthinkable happens and Kasia is sent to Ravensbrück, the notorious female-only Nazi concentration camp. The tragedy and triumph of their stories cross continents—from New York to Paris, and Germany to Poland—capturing the indomitable pull of compassion to bring justice to those whom history has forgotten. In Lilac Girls, Martha Hall Kelly has crafted a remarkable novel of unsung women and their quest for love, happiness, and second chances. It is a story that will keep readers bonded with the characters, searching for the truth, until the final pages.",0,0,0,0,0,0,0,1,1
Cole Family Trilogy #1The Physician,"In the 11th century, Rob Cole left poor, disease-ridden London to make his way across the land, hustling, juggling, peddling cures to the sick—and discovering the mystical ways of healing. It was on his travels that he found his own very real gift for healing—a gift that urged him on to become a doctor. So all consuming was his dream, that he made the perilous, unheard-of journey to Persia, to its Arab universities where he would undertake a transformation that would shape his destiny forever.",0,1,0,0,0,0,0,1,1
When God Was a Rabbit,"When God was a Rabbit is an incredibly exciting debut from an extraordinary new voice in fiction.Spanning four decades, from 1968 onwards, this is the story of a fabulous but flawed family and the slew of ordinary and extraordinary incidents that shape their everyday lives. It is a story about childhood and growing up, loss of innocence, eccentricity, familial ties and friendships, love and life. Stripped down to its bare bones, it’s about the unbreakable bond between a brother and sister.",0,0,0,0,0,0,0,0,1
Last Survivors #1Life As We Knew It,"Miranda’s disbelief turns to fear in a split second when a meteor knocks the moon closer to the earth. How should her family prepare for the future when worldwide tsunamis wipe out the coasts, earthquakes rock the continents, and volcanic ash blocks out the sun? As summer turns to Arctic winter, Miranda, her two brothers, and their mother retreat to the unexpected safe haven of their sunroom, where they subsist on stockpiled food and limited water in the warmth of a wood-burning stove.Told in journal entries, this is the heart-pounding story of Miranda’s struggle to hold on to the most important resource of all--hope--in an increasingly desperate and unfamiliar world.",0,0,0,0,1,0,0,0,1
The Humans,"When an extraterrestrial visitor arrives on Earth, his first impressions of the human species are less than positive. Taking the form of Professor Andrew Martin, a leading mathematician at Cambridge University, the visitor wants to complete his task and return home to his planet and a utopian society of immortality and infinite knowledge.He is disgusted by the way humans look, what they eat, and the wars they witness on the news, and is totally baffled by concepts such as love and family. But as time goes on, he starts to realize there may be more to this weird species than he has been led to believe. He drinks wine, reads Emily Dickinson, listens to Talking Heads, and begins to bond with the family he lives with, in disguise. In picking up the pieces of the professor's shattered personal life, the narrator sees hope and redemption in the humans' imperfections and begins to question the very mission that brought him there--a mission that involves not only thwarting human progress...but murder.",0,0,0,0,1,0,1,0,1
Pyongyang: A Journey in North Korea,"Famously referred to as one of the ""Axis of Evil"" countries, North Korea remains one of the most secretive and mysterious nations in the world today. In early 2001 cartoonist Guy Delisle became one of the few Westerners to be allowed access to the fortress-like country. While living in the nation's capital for two months on a work visa for a French film animation company, Delisle observed what he was allowed to see of the culture and lives of the few North Koreans he encountered; his findings form the basis of this graphic novel.Guy Delisle was born in Quebec City in 1966 and has spent the last decade living and working in the South of France with his wife and son. Delisle has spent ten years, mostly in Europe, working in animation, an experience that taught him about movement and drawing. He is now currently focusing on his cartooning. Delisle has written and drawn six graphic novels, including ""Pyongyang,"" his first graphic novel in English.",0,0,0,0,0,0,0,0,0
The Black Book,"From the Nobel Prize winner and acclaimed author of My Name is Red —a brilliantly unconventional mystery of a missing wife, and a provocative meditation on identity.“A glorious flight of dark, fantastic invention.” — The Washington PostGalip is a lawyer living in Istanbul. His wife, the detective novel–loving Ruya, has disappeared. Could she have left him for her ex-husband or Celâl, a popular newspaper columnist? But Celâl, too, seems to have vanished. As Galip investigates, he finds himself assuming the enviable Celâl's identity, wearing his clothes, answering his phone calls, even writing his columns. Galip pursues every conceivable clue, but the nature of the mystery keeps changing, and when he receives a death threat, he begins to fear the worst.With its cascade of beguiling stories about Istanbul, The Black Book is a brilliantly unconventional mystery, and a provocative meditation on identity. For Turkish literary readers it is the cherished cult novel in which Orhan Pamuk found his original voice, but it has largely been neglected by English-language readers. Now, in Maureen Freely’s beautiful translation, they, too, may encounter all its riches.A Translation and Afterword by Maureen Freely",0,0,0,1,0,1,0,0,1
What If It's Us  #2Here's to Us,"Ben has spent his first year of college working on his fantasy manuscript with his writing partner Mario, who is a great Spanish tutor, and an even better kisser. So why can’t he stop thinking about the fact that Arthur’s back in town two years after they called it quits?Arthur is in New York for a dream internship on Broadway, with a boyfriend back at home that he couldn't be happier with. But when he comes upon Ben cuddled up with a mystery boy, he starts to wonder if his feelings for Ben ever truly went away. Even as the boys try to focus on their futures, they can't seem to help running into each other in the present. Is the universe forcing them to question if they’re actually meant to be?Possibly not. After all, things didn’t work the first time around.Possibly yes. After all, the sparks are still flying.Sometimes you just have to take a leap of faith and raise a glass.Here’s to celebrating old friends!Here’s to embracing new beginnings!Here’s to believing in second chances!",0,0,1,0,0,0,0,0,1
The Secret Life of Bees,"Set in South Carolina in 1964, The Secret Life of Bees tells the story of Lily Owens, whose life has been shaped around the blurred memory of the afternoon her mother was killed. When Lily's fierce-hearted black ""stand-in mother,"" Rosaleen, insults three of the deepest racists in town, Lily decides to spring them both free. They escape to Tiburon, South Carolina--a town that holds the secret to her mother's past. Taken in by an eccentric trio of black beekeeping sisters, Lily is introduced to their mesmerizing world of bees and honey, and the Black Madonna. This is a remarkable novel about divine female power, a story women will share and pass on to their daughters for years to come.",0,1,0,0,0,0,0,1,1
Animal Dreams,"""Animals dream about the things they do in the day time just like people do. If you want sweet dreams, you've got to live a sweet life."" So says Loyd Peregrina, a handsome Apache trainman and latter-day philosopher. But when Codi Noline returns to her hometown, Loyd's advice is painfully out of her reach. Dreamless and at the end of her rope, Codi comes back to Grace, Arizona to confront her past and face her ailing, distant father. What she finds is a town threatened by a silent environmental catastrophe, some startling clues to her own identity, and a man whose view of the world could change the course of her life. Blending flashbacks, dreams, and Native American legends, Animal Dreams is a suspenseful love story and a moving exploration of life's largest commitments. With this work, the acclaimed author of The Bean Trees and Homeland and Other Stories sustains her familiar voice while giving readers her most remarkable book yet.",0,0,0,0,0,1,0,0,1
The Vampire Chronicles #7Merrick,"
In this mesmerizing new novel, Anne Rice demonstrates once again her gift for spellbinding storytelling and the creation of myth and magic, as she weaves together two of her most compelling worlds? those of the Vampire Chronicles and the Mayfair witches.
",0,0,0,0,0,0,1,0,1
The Hotel New Hampshire,"“The first of my father’s illusions was that bears could survive the life lived by human beings, and the second was that human beings could survive a life led in hotels.” So says John Berry, son of a hapless dreamer, brother to a cadre of eccentric siblings, and chronicler of the lives lived, the loves experienced, the deaths met, and the myriad strange and wonderful times encountered by the family Berry. Hoteliers, pet-bear owners, friends of Freud (the animal trainer and vaudevillian, that is), and playthings of mad fate, they “dream on” in a funny, sad, outrageous, and moving novel by the remarkable author of A Prayer for Owen Meany and Last Night in Twisted River.",0,1,0,0,0,1,0,0,1
Homo Deus: A History of Tomorrow,"Yuval Noah Harari, author of the critically-acclaimed New York Times bestseller and international phenomenon Sapiens, returns with an equally original, compelling, and provocative book, turning his focus toward humanity’s future, and our quest to upgrade humans into gods.Over the past century humankind has managed to do the impossible and rein in famine, plague, and war. This may seem hard to accept, but, as Harari explains in his trademark style—thorough, yet riveting—famine, plague and war have been transformed from incomprehensible and uncontrollable forces of nature into manageable challenges. For the first time ever, more people die from eating too much than from eating too little; more people die from old age than from infectious diseases; and more people commit suicide than are killed by soldiers, terrorists and criminals put together. The average American is a thousand times more likely to die from binging at McDonalds than from being blown up by Al Qaeda.What then will replace famine, plague, and war at the top of the human agenda? As the self-made gods of planet earth, what destinies will we set ourselves, and which quests will we undertake? Homo Deus explores the projects, dreams and nightmares that will shape the twenty-first century—from overcoming death to creating artificial life. It asks the fundamental questions: Where do we go from here? And how will we protect this fragile world from our own destructive powers? This is the next stage of evolution. This is Homo Deus.With the same insight and clarity that made Sapiens an international hit and a New York Times bestseller, Harari maps out our future. ",0,0,0,0,1,0,0,0,0
Wise Children,"Dora and Nora Chance are a famous song-and-dance team of the British music halls. Billed as The Lucky Chances, the sisters are the illegitimate and unacknowledged daughters of Sir Melchior Hazard, the greatest Shakespearean actor of his day. At once ribald and sentimental, glittery and tender, this rambunctious family saga is Angela Carter at her bewitching best.",0,1,0,0,0,1,1,1,1
Empire Falls,"Welcome to Empire Falls, a blue-collar town full of abandoned mills whose citizens surround themselves with the comforts and feuds provided by lifelong friends and neighbors and who find humor and hope in the most unlikely places, in this Pulitzer Prize-winning novel by Richard Russo.Miles Roby has been slinging burgers at the Empire Grill for 20 years, a job that cost him his college education and much of his self-respect. What keeps him there? It could be his bright, sensitive daughter Tick, who needs all his help surviving the local high school. Or maybe it’s Janine, Miles’ soon-to-be ex-wife, who’s taken up with a noxiously vain health-club proprietor. Or perhaps it’s the imperious Francine Whiting, who owns everything in town–and seems to believe that “everything” includes Miles himself. In Empire Falls Richard Russo delves deep into the blue-collar heart of America in a work that overflows with hilarity, heartache, and grace",0,0,0,0,0,1,0,0,1
The Accursed Kings #1-7Les Rois maudits,"""Tous maudits, jusqu'à la septième génération !"" : telle est la funeste malédiction que le chef des templiers, depuis les flammes du bûcher, lance au visage de Philippe le Bel, roi de France. Nous sommes en 1314 et la prophétie va se réaliser : pendant plus d'un demi-siècle, les rois se succèdent sur le trône de France, mais n'y restent jamais bien longtemps. D'intrigues de palais en morts subites, de révolutions dynastiques en guerres meurtrières, c'est la valse des rois maudits... L'avenir de la France se joue pendant ces quelques années noires, période trouble de l'Histoire. Une époque extraordinaire, jamais ennuyeuse, comme romanesque... L'auteur l'a bien compris, lui qui conte les histoires secrètes du royaume et des hommes, de leurs passions comme de leurs faiblesses qui bien souvent bouleversèrent le sort de la France. Académicien, Maurice Druon a rencontré un vif succès avec ces Rois maudits dont l'adaptation pour le petit écran a marqué des générations de téléspectateurs. --Karla Manuele",0,1,0,0,0,1,0,1,1
"Read People Like a Book: How to Analyze, Understand, and Predict People’s Emotions, Thoughts, Intentions, and Behaviors","Speed read people, decipher body language, detect lies, and understand human nature.Is it possible to analyze people without them saying a word? Yes, it is. Learn how to become a “mind reader” and forge deep connections.How to get inside people’s heads without them knowing.Read People Like a Book isn’t a normal book on body language of facial expressions. Yes, it includes all of those things, as well as new techniques on how to truly detect lies in your everyday life, but this book is more about understanding human psychology and nature. We are who we are because of our experiences and pasts, and this guides our habits and behaviors more than anything else. Parts of this book read like the most interesting and applicable psychology textbook you’ve ever read. Take a look inside yourself and others!Understand the subtle signals that you are sending out and increase your emotional intelligence.Patrick King is an internationally bestselling author and social skills coach. His writing draws of a variety of sources, from scientific research, academic experience, coaching, and real life experience.Learn the keys to influencing and persuading others.•What people’s limbs can tell us about their emotions.•Why lie detecting isn’t so reliable when ignoring context.•Diagnosing personality as a means to understanding motivation.•Deducing the most with the least amount of information.•Exactly the kinds of eye contact to use and avoidFind shortcuts to connect quickly and deeply with strangers.The art of reading and analyzing people is truly the art of understanding human nature. Consider it like a cheat code that will allow you to see through people’s actions and words.Decode people’s thoughts and intentions, and you can go in any direction you want with them.",0,0,0,0,0,0,0,0,0
The Poppy War #1The Poppy War,"An epic historical military fantasy, inspired by the bloody history of China’s twentieth century and filled with treachery and magic.When Rin aced the Keju—the Empire-wide test to find the most talented youth to learn at the Academies—it was a shock to everyone: to the test officials, who couldn’t believe a war orphan from Rooster Province could pass without cheating; to Rin’s guardians, who believed they’d finally be able to marry her off and further their criminal enterprise; and to Rin herself, who realized she was finally free of the servitude and despair that had made up her daily existence. That she got into Sinegard—the most elite military school in Nikan—was even more surprising.But surprises aren’t always good.Because being a dark-skinned peasant girl from the south is not an easy thing at Sinegard. Targeted from the outset by rival classmates for her color, poverty, and gender, Rin discovers she possesses a lethal, unearthly power—an aptitude for the nearly-mythical art of shamanism. Exploring the depths of her gift with the help of a seemingly insane teacher and psychoactive substances, Rin learns that gods long thought dead are very much alive—and that mastering control over those powers could mean more than just surviving school.For while the Nikara Empire is at peace, the Federation of Mugen still lurks across a narrow sea. The militarily advanced Federation occupied Nikan for decades after the First Poppy War, and only barely lost the continent in the Second. And while most of the people are complacent to go about their lives, a few are aware that a Third Poppy War is just a spark away . . .Rin’s shamanic powers may be the only way to save her people. But as she finds out more about the god that has chosen her, the vengeful Phoenix, she fears that winning the war may cost her humanity . . . and that it may already be too late.",0,0,0,0,0,0,1,1,1
Johnny Merrimon #1The Last Child,"Thirteen year-old Johnny Merrimon had the perfect life: a warm home and loving parents; a twin sister, Alyssa, with whom he shared an irreplaceable bond. He knew nothing of loss, until the day Alyssa vanished from the side of a lonely street. Now, a year later, Johnny finds himself isolated and alone, failed by the people he'd been taught since birth to trust. No one else believes that Alyssa is still alive, but Johnny is certain that she is—confident in a way that he can never fully explain.Determined to find his sister, Johnny risks everything to explore the dark side of his hometown. It is a desperate, terrifying search, but Johnny is not as alone as he might think. Detective Clyde Hunt has never stopped looking for Alyssa either, and he has a soft spot for Johnny. He watches over the boy and tries to keep him safe, but when Johnny uncovers a dangerous lead and vows to follow it, Hunt has no choice but to intervene.Then a second child goes missing...Undeterred by Hunt's threats or his mother's pleas, Johnny enlists the help of his last friend, and together they plunge into the wild, to a forgotten place with a history of violence that goes back more than a hundred years. There, they meet a giant of a man, an escaped convict on his own tragic quest. What they learn from him will shatter every notion Johnny had about the fate of his sister; it will lead them to another far place, to a truth that will test both boys to the limit.Traveling the wilderness between innocence and hard wisdom, between hopelessness and faith, The Last Child leaves all categories behind and establishes John Hart as a writer of unique power.",1,0,0,1,0,0,0,0,1
La metamorfosis,"La metamorfosis (Die Verwandlung, en su título original en alemán) es un relato de Franz Kafka, publicado en 1915 y que narra la historia de Gregorio Samsa, un comerciante de telas que vive con su familia a la que él mantiene con su sueldo, quien un día amanece convertido en un enorme insecto (aparentemente, un escarabajo, aunque no se identifica claramente en el texto).",0,0,0,0,0,1,1,0,1
Irish Country #1An Irish Country Doctor,"An Irish Country Doctor from bestselling author Patick Taylor is a charming and engrossing tale that will captivate readers from the very first page--and leave them yearning to visit the Irish countryside of days gone by. Barry Laverty, M.B., can barely find the Northern Ireland village of Ballybucklebo on a map when he first sets out to seek gainful employment there. But Barry jumps at the chance to secure a position as an assistant in a small rural practice.At least until he meets Dr. Fingal Flahertie O'Reilly.The older physician has his own way of doing things. At first, Barry can't decide if the pugnacious O'Reilly is the biggest charlatan he has ever met or the best teacher he could ever hope for. Through O'Reilly, Barry soon gets to know all of the village's colourful and endearing residents and a host of other eccentric characters who make every day an education for the inexperienced young doctor.Ballybucklebo is a long way from Belfast, and Barry is quick to discover that he still has a lot to learn about country life. But with pluck and compassion, and only the slightest touch of blarney, he will find out more about life--and love--than he ever imagined back in medical school.",0,0,0,0,0,1,0,1,1
Lightbringer #3The Broken Eye,"As the old gods awaken, the Chromeria is in a race to find its lost Prism, the only man who may be able to stop catastrophe, Gavin Guile. But Gavin's enslaved on a galley, and when he finally escapes, he finds himself in less than friendly hands. Without the ability to draft which has defined him . . .Meanwhile, the Color Prince's army continues its inexorable advance, having swallowed two of the seven satrapies, they now invade the Blood Forest. Andross Guile, thinking his son Gavin lost, tasks his two grandsons with stopping the advance. Kip and his psychopathic half-brother Zymun will compete for the ultimate prize: who will become the next Prism.",0,0,0,0,1,0,1,0,1
Blackbird,"In the small town of Hart's Ridge, a recent tragedy leaves the tight-knit community still reeling. In the highly anticipated ninth installment of the Hart's Ridge small-town mystery series, ""Blackbird,"" Deputy Taylor Gray finds herself supporting a colleague through a painful journey of letting go.Meanwhile, a young woman and her children must flee from her abusive ex-partner, seeking refuge and safety. Deputy Gray becomes entangled in their plight, blurring the lines between duty and personal conviction.
""Blackbird"" masterfully intertwines these dual plot lines, exploring the complexities of small-town life and the resilience of its residents. Brace yourself for an exhilarating journey to the heart of Hart's Ridge—a ride that promises to captivate readers until the final, unforgettable page.
",1,0,0,1,0,0,0,0,0
The Edge #1On the Edge,"Rose Drayton lives on the Edge, between the world of the Broken (where people drive cars, shop at Wal-Mart, and magic is a fairy tale) and the Weird (where blueblood aristocrats rule, changelings roam, and the strength of your magic can change your destiny). Only Edgers like Rose can easily travel from one world to the next, but they never truly belong in either.Rose thought if she practiced her magic, she could build a better life for herself. But things didn’t turn out how she planned, and now she works a minimum wage, off the books job in the Broken just to survive. Then Declan Camarine, a blueblood noble straight out of the deepest part of the Weird, comes into her life, determined to have her (and her power).But when a terrible danger invades the Edge from the Weird, a flood of creatures hungry for magic, Declan and Rose must work together to destroy them—or they’ll devour the Edge and everyone in it.",0,0,1,0,0,0,1,0,0
يوميات نائب في الأرياف,يوميات نائب في الأرياف، رواية من تأليف توفيق الحكيم، صدرت عام 1937 ترجمت ونشرت بالفرنسية عام 1939 (طبعة أولى) وفى عام 1942 (طبعة ثانية) وفى عام 1974 و1978 (طبعة ثالثة ورابعة وخامسة بدار بلون بباريس وترجم ونشر بالعبرية عام 1945 وترجم ونشر باللغة الإنجليزية في دار (هارفيل) للنشر بلندن عام 1947 -ترجة أبا إيبان- ترجم إلى الأسبانية في مدريد عام 1948 وترجم ونشر في السويد عام 1955، وترجم ونشر بالألمانية عام 1961 وبالرومانية عام 1962 بالروسية 1961. الرواية ألفها توفيق الحكيم يسرد فيها مشاهدات من الحوادث والقصص التي عرضت عليه أثناء عمله في القضاء في أحد مناطق الريف المصري. وتدور أحداث الرواية حول معاناة هذا النائب القادم من القاهرة إلى الأرياف، وكيف يمضي وقته في محاربة البعوض والذباب والاصطدام مع المأمور وكاتب النيابة.,0,1,0,0,0,1,0,0,1
Hero,"The last thing in the world Thom Creed wants is to add to his father's pain, so he keeps secrets. Like that he has special powers. And that he's been asked to join the League - the very organization of superheroes that spurned his dad. But the most painful secret of all is one Thom can barely face himself: he's gay.But becoming a member of the League opens up a new world to Thom. There, he connects with a misfit group of aspiring heroes, including Scarlett, who can control fire but not her anger; Typhoid Larry, who can make anyone sick with his touch; and Ruth, a wise old broad who can see the future. Like Thom, these heroes have things to hide; but they will have to learn to trust one another when they uncover a deadly conspiracy within the League.To survive, Thom will face challenges he never imagined. To find happiness, he'll have to come to terms with his father's past and discover the kind of hero he really wants to be.",0,0,0,0,0,0,1,0,1
Heaven Official's Blessing: Tian Guan Ci Fu (Novel) #7Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 7,"LIFETIMES OF CRUELTY, CENTURIES OF DEVOTIONThe Kiln is open, and White No-Face is back to his full power. The past eight hundred years have not blunted his hatred nor his obsession with Xie Lian—he aims to break Xie Lian down to nothing, even if all of humanity and the heavens themselves are collateral damage.This time, however, Xie Lian will not face him alone. Together with Hua Cheng—powerful ghost king, stalwart protector, and devoted love—can Xie Lian finally reveal the face behind the mask and put an end to the nightmare forever?",0,0,1,0,0,0,1,1,1
The Bad Boys #1Down to You,"The scorching tale of one girl, two brothers and a love triangle…that’s not. Olivia Townsend is nothing special. She’s just a girl working her way through college so she can return home to help her father run his business. She’s determined not to be the second woman in his life to abandon him, even if it means putting her own life on hold. To Olivia, it’s clear what she must do. Plain and simple. Black and white. But clear becomes complicated when she meets Cash and Nash Davenport. They’re brothers. Twins. Cash is everything she’s always wanted in a guy. He’s a dangerous, sexy bad boy who wants her in his bed at any cost. He turns her insides to mush and, with just one kiss, makes her forget why he’s no good for her. Nash is everything she’s ever needed in a guy. He’s successful, responsible and intensely passionate. But he’s taken. Very taken, by none other than Marissa, Liv’s rich, beautiful cousin. That doesn’t stop Olivia from melting every time he looks at her, though. With just one touch, he makes her forget why they can never be together. Black and white turns to shades of gray when Olivia discovers the boys are hiding something, something that should make her run as far and as fast as she can. But it’s too late to run. Olivia’s already involved. And in love. With both of them. Both brothers make her heart tremble. Both brothers set her body on fire. She wants them both. And they want her. How will she ever choose between them?",0,0,1,0,0,0,0,0,0
The Hot Zone: The Terrifying True Story of the Origins of the Ebola Virus,"A highly infectious, deadly virus from the central African rain forest suddenly appears in the suburbs of Washington, D.C. There is no cure. In a few days 90 percent of its victims are dead. A secret military SWAT team of soldiers and scientists is mobilized to stop the outbreak of this exotic ""hot"" virus. The Hot Zone tells this dramatic story, giving a hair-raising account of the appearance of rare and lethal viruses and their ""crashes"" into the human race. Shocking, frightening, and impossible to ignore, The Hot Zone proves that truth really is scarier than fiction.",1,0,0,0,1,0,0,0,0
The Land of Stories #1The Wishing Spell,"Alex and Conner Bailey's world is about to change, in this fast-paced adventure that uniquely combines our modern day world with the enchanting realm of classic fairy tales.The Land of Stories tells the tale of twins Alex and Conner. Through the mysterious powers of a cherished book of stories, they leave their world behind and find themselves in a foreign land full of wonder and magic where they come face-to-face with the fairy tale characters they grew up reading about.But after a series of encounters with witches, wolves, goblins, and trolls alike, getting back home is going to be harder than they thought.",0,0,0,0,0,0,1,0,1
Black and Blue,"For eighteen years, Fran Benedetto kept her secret. And hid her bruises. And stayed with Bobby because she wanted her son to have a father. And because, in spite of everything, she loved him. Then one night, when she saw the look on her ten-year-old son's face, Fran finally made a choice--and ran for both their lives.Now she is starting over in a city far from home, far from Bobby. And in this place she uses a name that isn't hers, and cradles her son in her arms, and tries to forget. For the woman who now calls herself Beth, every day is a chance to heal, to put together the pieces of her shattered self. And every day she waits for Bobby to catch up to her. Because Bobby always said he would never let her go. And despite the flawlessness of her escape, Fran Benedetto is certain of one thing: It is only a matter of time...",0,0,0,0,0,0,0,0,1
The Bluest Eye,"The Bluest Eye is Toni Morrison's first novel, a book heralded for its richness of language and boldness of vision. Set in the author's girlhood hometown of Lorain, Ohio, it tells the story of black, eleven-year-old Pecola Breedlove. Pecola prays for her eyes to turn blue so that she will be as beautiful and beloved as all the blond, blue-eyed children in America. In the autumn of 1941, the year the marigolds in the Breedloves' garden do not bloom. Pecola's life does change—in painful, devastating ways. With its vivid evocation of the fear and loneliness at the heart of a child's yearning, and the tragedy of its fulfillment. The Bluest Eye remains one of Toni Morrison's most powerful, unforgettable novels- and a significant work of American fiction.",0,1,0,0,0,0,0,1,1
The Forgotten Bookshop in Paris,"From an exciting new voice in WWII historical fiction—and the author of The Clockmaker’s Wife—comes a tale of love and a betrayal that echoes through generations…Paris, 1940: War is closing in on the city of love. With his wife forced into hiding, Jacques must stand by and watch as the Nazis take away everything he holds dear. Everything except his last beacon of hope: his beloved bookshop, La Page Cachée.But when a young woman and her child knock on his door one night and beg for refuge, he knows his only option is to risk it all once more to save a life…Modern day: Juliette and her husband have finally made it to France on the romantic getaway of her dreams—but as the days pass, all she discovers is quite how far they’ve grown apart. She’s craving a new adventure, so when she happens across a tiny, abandoned shop with a for-sale sign in the window, it feels fated.And she’s about to learn that the forgotten bookshop hides a lot more than meets the eye…A heartbreaking tale of love and loss in war, perfect for fans of Kate Quinn and Rachel Hore.",0,0,1,0,0,0,0,1,1
Stoner,"William Stoner is born at the end of the nineteenth century into a dirt-poor Missouri farming family. Sent to the state university to study agronomy, he instead falls in love with English literature and embraces a scholar’s life, so different from the hardscrabble existence he has known. And yet as the years pass, Stoner encounters a succession of disappointments: marriage into a “proper” family estranges him from his parents; his career is stymied; his wife and daughter turn coldly away from him; a transforming experience of new love ends under threat of scandal. Driven ever deeper within himself, Stoner rediscovers the stoic silence of his forebears and confronts an essential solitude.John Williams’s luminous and deeply moving novel is a work of quiet perfection. William Stoner emerges from it not only as an archetypal American, but as an unlikely existential hero, standing, like a figure in a painting by Edward Hopper, in stark relief against an unforgiving world.",0,1,0,0,0,1,0,1,1
Kings of Sin #2King of Pride," She's his opposite in every way...and the greatest temptation he's ever known. Reserved, controlled, and proper to a fault, Kai Young has neither the time nor inclination for chaos—and Isabella, with her purple hair and inappropriate jokes, is chaos personified.With a crucial CEO vote looming and a media empire at stake, the billionaire heir can’t afford the distraction she brings. Isabella is everything he shouldn’t want, but with every look and every touch, he’s tempted to break all his rules…and claim her as his own. ***Bold, impulsive, and full of life, Isabella Valencia has never met a party she doesn’t like or a man she couldn’t charm...except for Kai Young.It shouldn’t matter. He’s not her type—the man translates classics into Latin for fun, and his membership at the exclusive club where she bartends means he’s strictly off limits. But she can’t deny that, beneath his cool exterior, is a man who could make her melt with just a touch. No matter how hard they try, they can’t resist giving into their forbidden desires.Even if it costs them everything.  King of Pride is a steamy opposite attract, forbidden billionaire romance. It's book two in the Kings of Sin series but can be read as a standalone.Contains explicit content and profanity. Recommended for mature readers only. ",0,0,1,0,0,0,1,0,1
The Glass Bead Game,"The final novel of Hermann Hesse, The Glass Bead Game is a fascinating tale of the complexity of modern life as well as a classic of modern literature.Set in the twenty-third century, The Glass Bead Game is the story of Joseph Knecht, who has been raised in Castalia, the remote place his society has provided for the intellectual elite to grow and flourish. Since childhood, Knecht has been consumed with mastering the Glass Bead Game, which requires a synthesis of aesthetics and philosophy, which he achieves in adulthood, becoming a Magister Ludi (Master of the Game).",0,1,0,0,1,1,0,0,1
Universo Reina Roja #3Reina roja,"NO HAS CONOCIDO A NADIE COMO ELLAAntonia Scott es especial. Muy especial.No es policía ni criminalista. Nunca ha empuñado un arma ni llevado una placa, y, sin embargo, ha resuelto decenas de crímenes.Pero hace un tiempo que Antonia no sale de su ático de Lavapiés. Las cosas que ha perdido le importan mucho más que las que esperan ahí fuera.Tampoco recibe visitas. Por eso no le gusta nada, nada, cuando escucha unos pasos desconocidos subiendo las escaleras hasta el último piso.Sea quien sea, Antonia está segura de que viene a buscarla.Y eso le gusta aún menos.NO HAS LEÍDO NUNCA UN THRILLER COMO ESTE",1,0,0,1,0,1,0,0,1
